shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13213,47.465530,-122.278300,1692.93
1-SHUTTLE-A-NB,13214,47.465630,-122.277820,1730.69
1-SHUTTLE-A-NB,13215,47.465690,-122.277330,1768.12
1-SHUTTLE-A-NB,13216,47.465710,-122.276710,1814.78
1-SHUTTLE-A-NB,13217,47.465690,-122.276150,1856.94
1-SHUTTLE-A-NB,13218,47.465640,-122.275660,1894.19
1-SHUTTLE-A-NB,13219,47.465550,-122.275170,1932.36
1-SHUTTLE-A-NB,13220,47.465420,-122.274640,1974.74
1-SHUTTLE-A-NB,13221,47.465210,-122.274030,2026.2
1-SHUTTLE-A-NB,13222,47.464880,-122.273360,2088.51
1-SHUTTLE-A-NB,13223,47.464500,-122.272570,2161.4
1-SHUTTLE-A-NB,13224,47.463240,-122.270190,2388.64
1-SHUTTLE-A-NB,13225,47.462540,-122.268610,2530.65
1-SHUTTLE-A-NB,13226,47.462180,-122.267750,2606.69
1-SHUTTLE-A-NB,13227,47.462100,-122.267460,2630.24
1-SHUTTLE-A-NB,13228,47.462060,-122.267140,2654.7
1-SHUTTLE-A-NB,13229,47.462060,-122.266760,2683.27
1-SHUTTLE-A-NB,13230,47.462090,-122.266500,2703.09
1-SHUTTLE-A-NB,13231,47.462180,-122.266150,2731.25
1-SHUTTLE-A-NB,13232,47.462330,-122.265800,2762.4
1-SHUTTLE-A-NB,13233,47.462510,-122.265520,2791.44
1-SHUTTLE-A-NB,13234,47.462690,-122.265360,2814.8
1-SHUTTLE-A-NB,13235,47.462890,-122.265230,2839.09
1-SHUTTLE-A-NB,13236,47.463210,-122.265130,2875.45
1-SHUTTLE-A-NB,13237,47.463510,-122.265190,2909.12
1-SHUTTLE-A-NB,13238,47.463820,-122.265350,2945.63
1-SHUTTLE-A-NB,13239,47.464180,-122.265570,2988.94
1-SHUTTLE-A-NB,13240,47.464870,-122.266000,3072.19
1-SHUTTLE-A-NB,13241,47.465100,-122.266140,3099.85
1-SHUTTLE-A-NB,13242,47.465720,-122.266530,3174.76
1-SHUTTLE-A-NB,13243,47.466230,-122.266820,3235.52
1-SHUTTLE-A-NB,13244,47.466950,-122.267230,3321.31
1-SHUTTLE-A-NB,13245,47.468160,-122.267610,3458.85
1-SHUTTLE-A-NB,13246,47.468870,-122.267810,3539.22
1-SHUTTLE-A-NB,13247,47.470430,-122.268260,3715.95
1-SHUTTLE-A-NB,13248,47.471720,-122.268560,3861.15
1-SHUTTLE-A-NB,13249,47.472610,-122.268810,3961.88
1-SHUTTLE-A-NB,13250,47.473050,-122.268960,4012.09
1-SHUTTLE-A-NB,13251,47.473380,-122.269080,4049.88
1-SHUTTLE-A-NB,13252,47.473970,-122.269290,4117.36
1-SHUTTLE-A-NB,13253,47.477670,-122.271050,4549.52
1-SHUTTLE-A-NB,13254,47.477970,-122.271210,4584.98
1-SHUTTLE-A-NB,13255,47.478210,-122.271320,4612.92
1-SHUTTLE-A-NB,13256,47.478350,-122.271370,4628.93
1-SHUTTLE-A-NB,13257,47.478500,-122.271420,4646.03
1-SHUTTLE-A-NB,13258,47.478720,-122.271490,4671.05
1-SHUTTLE-A-NB,13259,47.478900,-122.271530,4691.29
1-SHUTTLE-A-NB,13260,47.479150,-122.271590,4719.45
1-SHUTTLE-A-NB,13261,47.479450,-122.271650,4753.11
1-SHUTTLE-A-NB,13262,47.479710,-122.271670,4782.06
1-SHUTTLE-A-NB,13263,47.479910,-122.271690,4804.35
1-SHUTTLE-A-NB,13264,47.480270,-122.271690,4844.38
1-SHUTTLE-A-NB,13265,47.480490,-122.271670,4868.89
1-SHUTTLE-A-NB,13266,47.480840,-122.271630,4907.93
1-SHUTTLE-A-NB,13267,47.481070,-122.271580,4933.77
1-SHUTTLE-A-NB,13268,47.481260,-122.271540,4955.11
1-SHUTTLE-A-NB,13269,47.481690,-122.271420,5003.77
1-SHUTTLE-A-NB,13270,47.482430,-122.271080,5089.93
1-SHUTTLE-A-NB,13271,47.482950,-122.270760,5152.55
1-SHUTTLE-A-NB,13272,47.483180,-122.270600,5180.81
1-SHUTTLE-A-NB,13273,47.483310,-122.270500,5197.11
1-SHUTTLE-A-NB,13274,47.483840,-122.270060,5264.68
1-SHUTTLE-A-NB,13275,47.484070,-122.269820,5295.97
1-SHUTTLE-A-NB,13276,47.484310,-122.269550,5329.5
1-SHUTTLE-A-NB,13277,47.485610,-122.267900,5519.94
1-SHUTTLE-A-NB,13278,47.486010,-122.267390,5578.65
1-SHUTTLE-A-NB,13279,47.487080,-122.266090,5732.59
1-SHUTTLE-A-NB,13280,47.487230,-122.265890,5755.04
1-SHUTTLE-A-NB,13281,47.487860,-122.265200,5842.2
1-SHUTTLE-A-NB,13282,47.488240,-122.264870,5891.19
1-SHUTTLE-A-NB,13283,47.488600,-122.264650,5934.5
1-SHUTTLE-A-NB,13284,47.488840,-122.264530,5962.67
1-SHUTTLE-A-NB,13285,47.489180,-122.264420,6001.37
1-SHUTTLE-A-NB,13286,47.489430,-122.264370,6029.42
1-SHUTTLE-A-NB,13287,47.489600,-122.264330,6048.56
1-SHUTTLE-A-NB,13288,47.489920,-122.264310,6084.17
1-SHUTTLE-A-NB,13289,47.490280,-122.264310,6124.2
1-SHUTTLE-A-NB,13290,47.490630,-122.264380,6163.47
1-SHUTTLE-A-NB,13291,47.491040,-122.264490,6209.81
1-SHUTTLE-A-NB,13292,47.491440,-122.264690,6256.75
1-SHUTTLE-A-NB,13293,47.491650,-122.264800,6281.53
1-SHUTTLE-A-NB,13294,47.491900,-122.265000,6313.13
1-SHUTTLE-A-NB,13295,47.492210,-122.265280,6353.51
1-SHUTTLE-A-NB,13296,47.492690,-122.265790,6419.21
1-SHUTTLE-A-NB,13297,47.495600,-122.269360,6839.5
1-SHUTTLE-A-NB,13298,47.497370,-122.271480,7092.69
1-SHUTTLE-A-NB,13299,47.498340,-122.272560,7227.65
1-SHUTTLE-A-NB,13300,47.499490,-122.273760,7384.11
1-SHUTTLE-A-NB,13301,47.500220,-122.274290,7474.52
1-SHUTTLE-A-NB,13302,47.500380,-122.274430,7495.19
1-SHUTTLE-A-NB,13303,47.500930,-122.274990,7569.42
1-SHUTTLE-A-NB,13304,47.501060,-122.275090,7585.71
1-SHUTTLE-A-NB,13305,47.502680,-122.276770,7805.65
1-SHUTTLE-A-NB,13306,47.502780,-122.276870,7819.07
1-SHUTTLE-A-NB,13307,47.502920,-122.276980,7836.7
1-SHUTTLE-A-NB,13308,47.503290,-122.277350,7886.35
1-SHUTTLE-A-NB,13309,47.503600,-122.277620,7926.34
1-SHUTTLE-A-NB,13310,47.503860,-122.277810,7958.58
1-SHUTTLE-A-NB,13311,47.504280,-122.277990,8007.2
1-SHUTTLE-A-NB,13312,47.504460,-122.278080,8028.33
1-SHUTTLE-A-NB,13313,47.504750,-122.278170,8061.28
1-SHUTTLE-A-NB,13314,47.505120,-122.278220,8102.59
1-SHUTTLE-A-NB,13315,47.505870,-122.278230,8185.99
1-SHUTTLE-A-NB,13316,47.506860,-122.278220,8296.07
1-SHUTTLE-A-NB,13317,47.507160,-122.278250,8329.51
1-SHUTTLE-A-NB,13318,47.507600,-122.278270,8378.46
1-SHUTTLE-A-NB,13319,47.507870,-122.278260,8408.49
1-SHUTTLE-A-NB,13320,47.508020,-122.278260,8425.17
1-SHUTTLE-A-NB,13321,47.508140,-122.278260,8438.51
1-SHUTTLE-A-NB,13322,47.509050,-122.278270,8539.7
1-SHUTTLE-A-NB,13323,47.509680,-122.278280,8609.76
1-SHUTTLE-A-NB,13324,47.509840,-122.278280,8627.55
1-SHUTTLE-A-NB,13325,47.511430,-122.278420,8804.66
1-SHUTTLE-A-NB,13326,47.511470,-122.278420,8809.11
1-SHUTTLE-A-NB,13327,47.512180,-122.278510,8888.35
1-SHUTTLE-A-NB,13328,47.512850,-122.278590,8963.09
1-SHUTTLE-A-NB,13329,47.513280,-122.278650,9011.12
1-SHUTTLE-A-NB,13330,47.513420,-122.278680,9026.85
1-SHUTTLE-A-NB,13331,47.513590,-122.278690,9045.76
1-SHUTTLE-A-NB,13332,47.513720,-122.278710,9060.3
1-SHUTTLE-A-NB,13333,47.514420,-122.278790,9138.37
1-SHUTTLE-A-NB,13334,47.514910,-122.278840,9192.98
1-SHUTTLE-A-NB,13335,47.515450,-122.278900,9253.19
